Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
23-11-1990,0,7.07916569,14.82637272,0.54416717,21.58686882,21.62563412
26-11-1990,0.00000036,7.08886791,14.74987804,0.46732915,21.36131976,21.50045235
27-11-1990,0,7.09741331,14.78006472,0.49805914,21.25723504,21.09411468
28-11-1990,0,7.14961451,14.73995052,0.45522232,21.19460127,20.83354173
29-11-1990,0,7.18898653,14.71779151,0.42630826,21.74638119,21.86794139
30-11-1990,0,7.14648215,14.63136257,0.3396348,21.21372793,21.68975402
03-12-1990,0.00000001,7.1556835,14.51953942,0.23089225,22.43226914,22.60276165
04-12-1990,0,7.11856832,14.58861376,0.29992116,22.97304547,22.85613825
05-12-1990,0,7.1074723,14.49454748,0.20598806,22.78997093,22.92650898
06-12-1990,0,7.11964205,14.55182008,0.26303297,23.16901037,23.18987656
07-12-1990,0.00000001,7.01180365,14.36002558,0.07020779,24.10261017,24.25854111
10-12-1990,0.00000004,6.97778801,14.30896745,0.01907207,24.05094297,24.24728635
11-12-1990,0,6.95315046,14.27268675,-0.01700811,24.34543675,24.25213146
12-12-1990,0.00015284,6.93524735,14.27434664,-0.06618067,24.96338141,18.77317894
13-12-1990,0.00000463,6.93847665,14.39934834,0.08109762,22.08063663,19.05761479
14-12-1990,0.00000432,6.93274243,14.56180796,0.2275488,20.51362427,20.2442361
17-12-1990,0,6.93119593,14.52333421,0.18774364,21.03189348,21.05402052
18-12-1990,0,6.91746805,14.48638833,0.15037446,21.66160322,21.4022883
19-12-1990,0,6.80526776,14.74098162,0.4063707,20.75157276,20.57669675
20-12-1990,0,6.78535877,14.85604123,0.5219437,19.31901403,19.36304233
21-12-1990,0.55142666,6.21865545,13.69598437,1.71092315,16.75958824,29.99999923
24-12-1990,0.68869429,6.09446917,13.44090565,2.37983555,15.53199137,30
26-12-1990,0.68379058,6.11491141,13.217366,2.15704163,16.27030753,29.99999954
27-12-1990,0.67640809,6.10913403,13.12707865,2.06271377,16.47738958,29.99999989
28-12-1990,0.82664367,5.90405141,12.38055753,3.50068563,15.06368803,29.99999954
31-12-1990,0.86296798,5.79563627,12.05487197,3.86792776,15.05528065,29.99999987
02-01-1991,0.81430572,5.75736733,11.96188067,3.76589114,15.04776211,29.99999686
03-01-1991,0.95175599,5.60787879,11.08857297,4.59024496,14.75931517,29.9999997
04-01-1991,1.55147351,5.08064574,8.13771848,8.67388074,11.85809542,29.99999999
07-01-1991,1.33308034,5.32317327,7.77407702,6.98641941,14.9380497,17.44270437
08-01-1991,1.71625592,4.84427376,8.2022266,9.06855657,11.14106094,26.96674105
09-01-1991,1.67179239,4.83739261,8.67641757,8.45656017,11.1391152,23.35363218
10-01-1991,1.88630563,4.57921288,8.02619205,10.44658415,9.62047571,29.27124844
11-01-1991,2.04495239,4.36139808,7.23513898,12.57097435,8.05619144,28.84216833
14-01-1991,1.95927954,4.41642956,4.63773195,15.68811351,5.50693329,18.62728281
15-01-1991,2.11153223,4.18966534,3.20498925,18.11991524,3.00745871,13.28126486
16-01-1991,2.70277918,3.55307505,3.21971682,17.20111844,2.15255582,11.68745166
17-01-1991,6.77953148,-0.52691028,0.16289234,5.02727586,0.63920881,9.46709003
18-01-1991,6.53893723,-0.42920449,0.44533502,5.80366529,0.4531136,9.15343937
22-01-1991,6.66617976,-0.52057306,0.02183624,5.62779093,0.48998939,9.45206244
23-01-1991,6.59661095,-0.44481666,0.19085265,5.77052419,0.60878235,9.45142666
24-01-1991,6.50994476,-0.35965732,0.10774637,5.97406693,0.51535082,9.42314889
25-01-1991,6.5298157,-0.41382196,0.25915748,6.11401642,0.51838388,9.53125861
28-01-1991,4.57293309,1.70945754,1.86130858,11.32292675,2.18195232,11.38683447
29-01-1991,4.58594193,1.6756689,1.82702101,11.39977476,1.90631082,10.96131709
30-01-1991,4.39315438,1.90928469,1.82103038,11.41772228,2.99740409,12.39245616
31-01-1991,4.3931653,1.85872638,1.7060469,11.90219339,2.21254356,11.27781004
01-02-1991,4.27770044,1.8146922,1.15986689,12.13629734,2.30106045,10.73158975
04-02-1991,4.06451599,1.97530661,1.7591527,11.38418406,4.05986965,12.72451319
05-02-1991,3.5927249,2.44060588,1.59701241,13.35300059,2.97277843,11.84490061
06-02-1991,3.45218744,2.54486927,1.86748426,13.86330412,2.63319993,11.67982945
07-02-1991,3.49268479,2.46167002,1.95873239,14.08379755,2.33418561,11.4049283
08-02-1991,5.88119146,-0.02697086,0.62640344,7.38037448,1.13353401,9.59874326
11-02-1991,5.88135563,0.02799798,0.38441588,7.46399278,1.10202924,9.49279848
12-02-1991,5.81726294,0.15709324,0.56936523,7.34261137,2.95338582,10.21623483
13-02-1991,5.14137582,0.81945121,2.10971267,7.75722179,4.90841948,13.0696442
14-02-1991,3.97464312,1.94828999,1.9543861,11.76604368,3.5966583,12.81153921
15-02-1991,3.44055257,2.37300658,2.50329931,14.10989778,2.05359132,11.37121521
19-02-1991,3.01631743,2.8263709,3.00339915,15.19740959,2.15655154,11.86250888
20-02-1991,2.74770407,3.16327223,3.19513156,15.55313469,2.70576594,13.14541607
21-02-1991,2.62136131,3.32434815,3.39932856,15.4420484,3.22835001,14.07866826
22-02-1991,1.84998662,3.98620668,4.60315983,17.76100987,2.82289223,14.29258236
25-02-1991,0.00000009,5.93895004,5.59859376,22.11168865,3.39744873,16.1233412
26-02-1991,0.00000586,5.94657614,5.4198407,22.66999798,3.16286811,15.19553514
27-02-1991,0,5.98368616,5.34962352,22.64363488,3.23756389,15.3165942
28-02-1991,0,6.00855459,5.19154055,22.7711619,3.2930121,15.29257283
01-03-1991,0.0000033,6.01539498,5.85329704,23.26153476,2.91509285,14.86051047
04-03-1991,0.00000053,6.0733833,5.71673568,23.04998427,3.20453818,15.67846976
05-03-1991,0,6.03687284,5.65715645,22.9213874,3.23581025,15.62033225
06-03-1991,0,5.98780241,5.93577547,22.98985748,3.18566003,15.66846795
07-03-1991,0.00016905,6.00168046,5.85189842,22.69412071,3.27947669,15.80682614
08-03-1991,0.00000009,5.92726984,5.96104909,22.91951605,3.31978107,15.91568212
11-03-1991,0.00018147,5.94114367,5.79788351,22.62101733,3.40222786,15.9718253
12-03-1991,0.00000111,5.85570899,6.35023655,22.63583343,3.38043859,16.48685176
13-03-1991,0.00000778,5.80000037,6.16232021,22.58626899,3.33264518,16.20123368
14-03-1991,0,5.80072956,6.06688051,22.18227585,3.65127102,16.70068714
15-03-1991,0.00029072,5.79312046,7.00911647,22.12448236,3.9913854,19.1157036
18-03-1991,0.00024458,5.72387468,6.34292984,23.56919544,2.80169459,14.59301366
19-03-1991,0.00001615,5.79172121,7.26408018,23.2731283,3.11806445,16.59776403
20-03-1991,0.00000133,5.80089536,7.02435474,23.42724969,2.91941121,15.87579882
21-03-1991,0,5.79972381,6.91229696,23.16339231,3.12321772,16.52533952
22-03-1991,0.00000777,5.79115042,6.91847259,23.10264952,3.121643,16.52634721
25-03-1991,0.0000081,5.80783203,7.05826808,22.9552649,3.23421131,17.13052408
26-03-1991,0,5.80301648,7.08623472,22.9113182,3.17555069,16.85654581
